"","Lat","Long","YY","Ex","Pf","PfPR2_10","LoAge","UpAge"
"1005",-11.0217,33.8544,2006,9,0,0,1,3
"1006",-11.0217,33.8544,2007,11,1,10.9,6,29
"1007",-11.0162,33.8534,2005,4,0,0,13,22
"1008",-11.0162,33.8534,2006,13,0,0,1,3
"1009",-11.0162,33.8534,2007,11,0,0,7,39
"1010",-11.0162,33.8534,2008,20,1,6.57,10,28
"1011",-11.0219,33.8425,2005,5,0,0,11,26
"1012",-11.0219,33.8425,2006,16,2,12.8,1,4
"1013",-11.0219,33.8425,2007,13,0,0,7,29
"1014",-11.0219,33.8425,2008,31,2,7.74,6,29
"1015",-11.0219,33.8425,2009,50,1,2.13,0.3,4.9
"1016",-15.0719,35.187,2011,98,31,33.71,0.3,5
"1017",-15.0659,35.1988,2010,23,17,80.84,0,5
"1018",-15.0298,34.978,2010,10,3,33.62,0,4
"1019",-15.218,34.8905,2010,18,15,91.14,0,5
"1020",-14.995,35.1816,2010,27,12,48.6,0,5
"1021",-14.8266,35.074,2001,9,5,74.11,9.2,32.7
"1022",-14.8556,35.0441,2009,9,3,34.81,0.5,4.9
"1023",-15.0569,35.1128,2011,37,2,5.77,0.3,5
"1024",-15.026,35.0107,2012,16,1,6.45,0.7,4.8
"1025",-15.1816,34.9067,2012,6,0,0,1.6,3.7
"1026",-14.9921,35.2043,2012,9,0,0,0.7,4.2
"1027",-15.0536,35.2202,2014,5,1,21.08,0.6,4
"1028",-15.0741,34.9153,2014,12,1,8.7,0.5,4.7
"1029",-14.8455,35.2385,2014,19,16,86.46,0.8,4.8
"1030",-15.0302,35.165,2017,20,4,20.89,0.5,4.9
"1031",-14.8566,35.2099,2017,22,6,28.48,0.5,4.9
"1032",-14.9869,34.9668,2017,20,0,0,0.5,4.9
"1033",-15.1313,34.9886,2015,17,1,6.06,1,14.8
"1034",-14.8408,35.2743,2015,17,9,53.82,0.9,12.3
"1035",-14.9422,34.9983,2001,8,8,99.79,9.7,33.3
"1036",-15.0451,34.9732,2009,6,0,0,1,4.9
"1037",-15.0536,35.2013,2011,27,2,7.9,0.3,5
"1038",-15.1037,35.196,2011,66,34,54.91,0.3,5
"1039",-15.3226,34.9311,2005,4,3,99.79,11,26
"1040",-15.3222,34.9897,2005,5,2,57.89,11,34
"1041",-15.3222,34.9897,2008,16,4,30.02,7,27
"1042",-15.8255,35.0908,2006,15,0,0,1,2
"1043",-15.8271,35.0708,2009,30,2,7.21,0.2,4.6
"1044",-15.8287,35.0908,2012,62,3,6.17,0.5,62
"1045",-15.8287,35.0908,2012,61,3,6.19,0.7,55
"1046",-15.8287,35.0908,2013,86,3,4.49,1,73
"1047",-15.8287,35.0908,2014,108,0,0,0.5,99
"1048",-15.8297,35.0904,2006,18,2,11.88,1,2
"1049",-15.712,35.004,2003,203,78,40.12,0.5,4.9
"1050",-15.8023,35.0054,2005,4,1,29.18,7,24
"1051",-15.816,35.012,2000,38,2,5.68,0.2,4.3
"1052",-15.8067,34.991,2012,58,1,2.21,0.8,72
"1053",-15.8067,34.991,2012,100,2,2.53,0.5,58
"1054",-15.8067,34.991,2013,97,11,14.55,0.8,69
"1055",-15.8067,34.991,2014,104,1,1.25,0.5,99
"1056",-15.3725,34.93,2000,23,12,56.36,0.2,4.9
"1057",-15.4131,34.9076,2006,6,1,17.3,1,3
"1058",-15.4124,34.9464,2009,18,2,11.35,0.9,5
"1059",-15.4458,34.8913,2009,21,6,30.45,0.3,4.7
"1060",-15.5234,35.0222,2005,5,0,0,7,17
"1061",-15.5234,35.0222,2008,15,1,8.98,11,27
"1062",-15.8576,35.0555,2007,16,1,7.5,6,29
"1063",-15.8516,35.073,2006,17,0,0,1,3
"1064",-15.8588,35.073,2006,11,0,0,1,3
"1065",-15.8588,35.073,2007,17,0,0,10,28
"1066",-15.878,35.0615,2009,37,1,2.92,0.2,4.7
"1067",-15.7664,34.9816,2006,12,1,8.9,1,2
"1068",-15.7506,34.9804,2005,3,0,0,18,20
"1069",-15.7506,34.9804,2008,23,0,0,7,29
"1070",-15.7728,34.9823,2008,20,0,0,8,29
"1071",-15.7814,34.9748,2009,23,2,9.4,0.2,4.8
"1072",-15.762,34.975,2000,51,7,15.08,0.1,4.5
"1073",-15.5666,35.0116,2010,14,8,62.49,0,5
"1074",-15.4712,34.9709,2010,22,18,89.49,0,5
"1075",-15.723,34.9107,2010,22,11,54.69,0,5
"1076",-15.8674,34.9566,2010,12,6,54.69,0,5
"1077",-15.7375,35.0051,2010,7,1,16.01,0,4
"1078",-15.7364,35.0635,2010,11,6,56.6,1,3
"1079",-15.7925,35.0823,2010,15,7,51.04,0,5
"1080",-15.7643,35.0356,2010,18,2,12.45,0,4
"1081",-15.7814,35.0395,2010,6,4,72.92,0,5
"1082",-15.774,35.0465,2010,14,10,80.05,0,4
"1083",-15.764,35.0008,2010,8,4,54.69,0,5
"1084",-15.7579,34.9787,2010,16,4,27.34,0,5
"1085",-15.8139,34.9791,2010,11,6,59.66,0,5
"1086",-15.8305,35.0874,2010,22,11,54.69,0,5
"1087",-15.8248,35.0792,2010,15,6,43.75,0,5
"1088",-15.8098,35.0202,2010,11,4,40.75,0,4
"1089",-15.8347,35.0096,2010,9,1,12.15,0,5
"1090",-15.8403,35.0385,2010,24,15,68.36,0,5
"1091",-15.57,35.018,2000,36,22,64.4,0.6,4.5
"1092",-15.608,35.036,2000,15,4,29.89,0,4.9
"1093",-15.6608,34.9741,2005,4,1,29.18,7,24
"1094",-15.6608,34.9741,2008,11,2,22.47,9,25
"1095",-15.5819,35.008,2005,2,1,69.85,15,21
"1096",-15.5819,35.008,2008,11,4,47.31,10,27
"1097",-15.602,35.0364,2005,2,2,99.79,17,27
"1098",-15.602,35.0364,2007,15,0,0,6,27
"1099",-15.602,35.0364,2008,11,5,55.07,7,28
"1100",-15.5844,34.9826,2006,18,11,63.4,1,3
"1101",-15.5844,34.9826,2009,28,17,63.99,0.4,4.5
"1102",-15.6531,35.0469,2005,4,2,61.38,8,27
"1103",-15.6531,35.0469,2008,26,8,36.6,6,28
"1104",-15.6572,35.0031,2005,6,2,43.32,9,30
"1105",-15.6572,35.0031,2008,13,3,28.21,7,29
"1106",-15.9047,35.0007,2007,18,4,27.42,7,30
"1107",-15.8437,34.9811,2005,2,0,0,15,26
"1108",-15.8437,34.9811,2008,22,4,21.8,6,29
"1109",-15.8502,34.9929,2007,17,1,6.75,6,24
"1110",-15.8502,34.9929,2009,15,1,6.97,0.7,3.7
"1111",-15.834,35.0075,2005,3,0,0,12,28
"1112",-15.834,35.0075,2008,16,1,7.64,7,29
"1113",-15.8378,35.0096,2006,21,1,4.94,1,3
"1114",-15.594,35.014,2001,2,2,99.79,24.8,28.5
"1115",-15.6383,34.899,2000,30,20,72.03,0.2,4.9
"1116",-15.5467,34.8626,2006,14,4,29.64,1,3
"1117",-15.6501,34.919,2009,16,7,45.49,0.6,4.7
"1118",-15.674,34.9351,2006,7,2,29.64,1,3
"1119",-15.6815,34.9483,2009,8,0,0,0.5,4.9
"1120",-15.7472,34.9119,2009,21,8,42.7,0,4.1
"1121",-15.7744,34.9564,2006,2,0,0,1,1
"1122",-15.7659,34.9153,2001,7,4,66.43,7.2,23.8
"1123",-15.7818,34.9761,2006,2,0,0,1,2
"1124",-15.6892,34.9047,2006,8,2,26.73,1,2
"1125",-15.669,34.8867,2009,17,4,25.08,0.3,4.7
"1126",-15.7592,35.0042,2001,6,0,0,13,33.6
"1127",-15.7658,35.0091,2007,14,1,8.85,8,28
"1128",-15.7629,35.0066,2009,5,0,0,0.5,4.9
"1129",-15.7616,35.0021,2005,2,0,0,23,25
"1130",-15.7616,35.0021,2008,28,0,0,8,29
"1131",-15.7645,34.9963,2007,16,0,0,6,29
"1132",-15.776,34.9983,2009,27,0,0,0.2,4.9
"1133",-15.7669,35.004,2005,2,0,0,7,16
"1134",-15.7669,35.004,2007,20,0,0,7,28
"1135",-15.7669,35.004,2008,27,1,4.4,7,26
"1136",-15.7669,35.004,2012,75,5,8.53,0.1,61
"1137",-15.7669,35.004,2012,83,4,6.12,0,54
"1138",-15.7669,35.004,2013,80,6,9.6,0.6,66
"1139",-15.7669,35.004,2014,91,3,4.29,0.5,99
"1140",-15.7579,35.0048,2005,3,1,44.88,11,27
"1141",-15.7579,35.0048,2008,11,0,0,9,29
"1142",-15.7638,34.9843,2007,10,0,0,12,24
"1143",-15.7391,35.0019,2009,28,3,11.18,0.5,4.8
"1144",-15.8386,35.0832,2000,48,17,36.99,0.5,4.8
"1145",-15.8386,35.0797,2009,14,0,0,0.5,4.9
"1146",-15.8222,35.0826,2001,3,1,43.53,10.1,27.8
"1147",-15.8428,35.0583,2009,27,1,3.94,0.3,4.8
"1148",-15.8401,35.0767,2005,3,0,0,6,23
"1149",-15.8401,35.0767,2006,18,0,0,1,3
"1150",-15.8401,35.0767,2008,27,2,9.06,7,29
"1151",-15.8429,35.0732,2012,62,1,2.06,0.6,67
"1152",-15.8429,35.0732,2012,83,7,10.83,0.9,71
"1153",-15.8429,35.0732,2013,95,4,5.4,0.7,68
